Frequency 	 |S21| 	 Phase(S21) 	 ExtPhase(S21) 	 CorPhase(S21)	 ExtCorPhase(S21)	 |S12| 	 Phase(S12)	 ExtPhase(S12) 	 CorPhase(S12)	 ExtCorPhase(S12)
GHz 	 dB 	 deg 	 deg 	 deg	 deg	 dB 	 deg 	 deg 	 deg	 deg
5.53000000e-001	-5.46448937e+001	-8.03937932e+001	2.79606207e+002	-6.85009431e+001	-6.85009431e+001	-5.66828383e+001	-7.39853833e+001	-4.33985383e+002	-6.00413389e+001	-2.40041339e+002
5.54000000e-001	-6.14458158e+001	6.03574454e+001	2.40357445e+002	7.35991448e+000	7.35991448e+000	-5.65224605e+001	3.73241135e+001	-3.22675887e+002	-6.86044807e+001	-2.48604481e+002
5.55000000e-001	-5.38455113e+001	-8.53893590e+001	2.74610641e+002	-2.60939406e+001	-2.60939406e+001	-6.13242765e+001	3.60660456e+001	-3.23933954e+002	1.62789624e+001	-1.63721038e+002
5.56000000e-001	-6.08367681e+001	-1.86769726e+000	3.58132303e+002	3.85863244e+001	3.85863244e+001	-6.34554449e+001	1.88998300e+001	-3.41100170e+002	2.60319410e+001	-1.53968059e+002
5.57000000e-001	-5.69052693e+001	3.37344591e+001	3.93734459e+002	-5.73485583e+001	-5.73485583e+001	-7.05563226e+001	4.49756875e+001	-3.15024312e+002	-7.94621228e+000	-1.87946212e+002
5.58000000e-001	-5.42800802e+001	-5.47658547e+001	3.05234145e+002	-5.86996158e+001	-5.86996158e+001	-5.91294234e+001	-3.23955692e+001	-3.92395569e+002	4.46108561e+001	-1.35389144e+002
5.59000000e-001	-5.43427594e+001	2.60623464e+000	3.62606235e+002	-5.14182110e+001	-5.14182110e+001	-6.50890613e+001	6.41587318e+001	-2.95841268e+002	-1.84721360e+001	-1.98472136e+002
5.60000000e-001	-6.14788765e+001	-2.04191358e+001	3.39580864e+002	6.70615381e+001	6.70615381e+001	-6.34431520e+001	-6.99534725e+001	-2.49953473e+002	6.85022121e+000	-1.73149779e+002
5.61000000e-001	-6.15406044e+001	5.77555481e+001	4.17755548e+002	-1.66483559e+000	-1.66483559e+000	-5.83358160e+001	3.51998893e+001	-1.44800111e+002	4.78448474e+001	-1.32155153e+002
5.62000000e-001	-6.26597065e+001	4.77350925e+001	4.07735093e+002	1.00508598e+001	1.00508598e+001	-5.77021362e+001	6.04051484e+001	-1.19594852e+002	1.07441983e+001	-1.69255802e+002
5.63000000e-001	-5.60526591e+001	-1.75015709e+001	3.42498429e+002	-7.97312774e+001	-7.97312774e+001	-5.87221865e+001	1.93968005e+001	-1.60603199e+002	2.38032227e+001	-1.56196777e+002
5.64000000e-001	-6.36377739e+001	8.27763724e+001	4.42776372e+002	2.45393826e-001	2.45393826e-001	-5.68522351e+001	-4.58146271e+001	-2.25814627e+002	-4.11066909e+001	-2.21106691e+002
5.65000000e-001	-5.88095159e+001	5.05551484e+001	4.10555148e+002	8.92823152e+001	8.92823152e+001	-5.63174996e+001	5.62386644e+001	-1.23761336e+002	-1.56089754e+001	-1.95608975e+002
5.66000000e-001	-5.47209125e+001	8.40738007e+001	4.44073801e+002	-3.98185014e+001	-3.98185014e+001	-6.42755238e+001	8.51608491e+001	-9.48391509e+001	2.88085971e+000	-1.77119140e+002
5.67000000e-001	-6.98915642e+001	-6.91233908e+001	4.70876609e+002	5.77945407e+000	5.77945407e+000	-6.91839596e+001	3.18880313e+001	-1.48111969e+002	1.21434715e+001	-1.67856529e+002
5.68000000e-001	-5.81227887e+001	5.30772500e+001	5.93077250e+002	1.18061164e+001	1.18061164e+001	-6.55658297e+001	1.24715574e+001	-1.67528443e+002	2.41088125e+001	-1.55891188e+002
5.69000000e-001	-5.78334287e+001	-4.35086530e+000	5.35649135e+002	-5.03040942e+001	-5.03040942e+001	-6.01607048e+001	-2.09651634e+000	-1.82096516e+002	4.74534374e+001	-1.32546563e+002
5.70000000e-001	-5.85750014e+001	-3.60000366e+001	5.03999963e+002	5.85676283e+001	5.85676283e+001	-6.28848788e+001	-6.74407460e+001	-2.47440746e+002	1.29538349e+001	-1.67046165e+002
5.71000000e-001	-6.03673895e+001	-5.71797391e+000	5.34282026e+002	5.26738984e+001	5.26738984e+001	-6.51808095e+001	6.19352514e+001	-1.18064749e+002	-1.58058386e+001	-1.95805839e+002
5.72000000e-001	-6.12452725e+001	-4.23271122e+001	4.97672888e+002	2.09047586e+001	2.09047586e+001	-6.45864051e+001	7.23989182e+001	-1.07601082e+002	-5.87946261e+000	-1.85879463e+002
5.73000000e-001	-6.07247249e+001	-1.32605819e+001	5.26739418e+002	4.22699833e+001	4.22699833e+001	-6.24795702e+001	7.58329124e+001	-1.04167088e+002	-1.14453029e+001	-1.91445303e+002
5.74000000e-001	-6.28980649e+001	-3.19906490e+001	5.08009351e+002	2.66504477e+001	2.66504477e+001	-7.25385954e+001	8.92808194e+001	-9.07191806e+001	1.93387074e+000	-1.78066129e+002
5.75000000e-001	-6.22056850e+001	-4.18532385e+001	4.98146761e+002	-2.65085788e+001	-2.65085788e+001	-5.66076913e+001	4.58090435e+001	-1.34190957e+002	9.98184133e+000	-1.70018159e+002
5.76000000e-001	-5.47013212e+001	1.30309483e+001	5.53030948e+002	8.47745044e+001	8.47745044e+001	-5.89091611e+001	-8.72202789e+001	-8.72202789e+001	-1.47757941e+001	-1.94775794e+002
5.77000000e-001	-5.87960495e+001	3.83974851e+001	5.78397485e+002	-2.82035757e+001	-2.82035757e+001	-6.58317039e+001	8.57930759e+001	-9.42069241e+001	-5.40237850e+000	-1.85402379e+002
5.78000000e-001	-5.77977731e+001	1.87943740e+001	5.58794374e+002	-7.81468219e+001	-7.81468219e+001	-6.65154803e+001	-7.39842160e+001	-7.39842160e+001	-1.93673814e+001	-1.99367381e+002
5.79000000e-001	-5.57301595e+001	-1.06194413e+001	5.29380559e+002	6.69356398e+001	-1.13064360e+002	-7.95491623e+001	-1.56297891e+001	-1.56297891e+001	2.83560454e+000	-1.77164395e+002
5.80000000e-001	-6.33003590e+001	4.84480658e+001	5.88448066e+002	2.48272493e+001	-1.55172751e+002	-5.65418796e+001	-4.22785220e+001	-4.22785220e+001	-4.67964498e+001	-2.26796450e+002
5.81000000e-001	-5.19724461e+001	-2.19926933e+001	5.18007307e+002	6.70629274e+001	-1.12937073e+002	-6.10189879e+001	2.95775479e+001	2.95775479e+001	-2.15836480e+001	-2.01583648e+002
5.82000000e-001	-6.26217055e+001	3.08397124e+001	5.70839712e+002	-1.71186177e+001	-1.97118618e+002	-6.47601429e+001	-5.70629883e+001	-5.70629883e+001	1.42991261e+001	-1.65700874e+002
5.83000000e-001	-6.85542932e+001	1.33753256e-001	5.40133753e+002	1.76257633e+001	-1.62374237e+002	-7.16605005e+001	2.29746487e+001	2.29746487e+001	7.68571695e+000	-1.72314283e+002
5.84000000e-001	-6.21598642e+001	-5.29164110e+001	4.87083589e+002	-1.45762937e+001	-1.94576294e+002	-6.68951407e+001	7.62266755e+001	7.62266755e+001	5.83974798e+000	-1.74160252e+002
5.85000000e-001	-6.65890163e+001	6.70340201e+001	6.07034020e+002	-2.35589766e+001	-2.03558977e+002	-6.05436647e+001	7.87126232e+001	7.87126232e+001	-6.11048405e+000	-1.86110484e+002
5.86000000e-001	-6.00626256e+001	-4.89868892e+001	4.91013111e+002	-2.23002020e+001	-2.02300202e+002	-6.20533044e+001	4.55013598e+001	4.55013598e+001	-6.99690890e+001	-2.49969089e+002
5.87000000e-001	-7.10155053e+001	-8.22768092e+001	4.57723191e+002	-3.57125705e+000	-1.83571257e+002	-6.16408656e+001	5.45717996e+001	5.45717996e+001	-2.30401102e+001	-2.03040110e+002
5.88000000e-001	-5.64660980e+001	1.78273127e+001	5.57827313e+002	-7.82789878e+001	-2.58278988e+002	-6.19306951e+001	-1.10890173e+001	-1.10890173e+001	-2.31474097e+001	-2.03147410e+002
5.89000000e-001	-5.97666525e+001	7.02338071e+000	5.47023381e+002	-4.46868443e+001	-2.24686844e+002	-6.40842312e+001	5.53481568e+001	5.53481568e+001	2.48839946e+001	-1.55116005e+002
5.90000000e-001	-6.82215917e+001	-3.59108016e+001	5.04089198e+002	8.46745557e+000	-1.71532544e+002	-5.81912774e+001	6.12693203e+000	6.12693203e+000	-5.75679585e+001	-2.37567959e+002
5.91000000e-001	-5.80142627e+001	-1.48114002e+001	5.25188600e+002	-4.88326633e+001	-2.28832663e+002	-6.44028517e+001	2.11707608e+001	2.11707608e+001	-1.11928735e+001	-1.91192873e+002
5.92000000e-001	-6.75543566e+001	-6.81417466e+001	4.71858253e+002	1.27565928e+001	-1.67243407e+002	-5.19912069e+001	-1.51061859e+001	-1.51061859e+001	8.32013550e+001	-9.67986450e+001
5.93000000e-001	-7.01171271e+001	7.20885319e+001	4.32088532e+002	9.13025436e+000	-1.70869746e+002	-5.89067819e+001	1.61350928e+001	1.61350928e+001	-2.97510621e+001	-2.09751062e+002
5.94000000e-001	-6.09696648e+001	-5.18883410e+001	3.08111659e+002	-5.36003705e+001	-2.33600370e+002	-5.55197780e+001	7.17073543e+001	7.17073543e+001	1.36742081e+001	-1.66325792e+002
5.95000000e-001	-5.78981970e+001	5.85196730e+001	4.18519673e+002	-6.78009182e+001	-2.47800918e+002	-5.60583948e+001	-7.15711471e+001	1.08428853e+002	3.23165313e+001	-1.47683469e+002
5.96000000e-001	-5.40482409e+001	5.54205267e+001	4.15420527e+002	-7.58893119e+001	-2.55889312e+002	-6.31031803e+001	-2.23932303e+001	1.57606770e+002	-3.16614532e+001	-2.11661453e+002
5.97000000e-001	-5.56208009e+001	3.44713450e+001	3.94471345e+002	4.64589909e+001	-1.33541009e+002	-6.42841395e+001	2.42407540e+001	2.04240754e+002	2.05962748e+001	-1.59403725e+002
5.98000000e-001	-8.34879020e+001	2.43987821e+001	3.84398782e+002	1.54509650e+000	-1.78454904e+002	-5.79303725e+001	-7.75785324e+001	1.02421468e+002	7.83552853e+000	-1.72164471e+002
5.99000000e-001	-6.17181993e+001	-5.55146674e+001	3.04485333e+002	-3.11741636e+001	-2.11174164e+002	-6.61435728e+001	3.10690785e+001	2.11069079e+002	-1.70943056e+001	-1.97094306e+002
6.00000000e-001	-5.44704485e+001	-4.07463487e+001	3.19253651e+002	6.44831969e+001	-1.15516803e+002	-5.85088889e+001	-3.71501350e+001	1.42849865e+002	6.53254665e+001	-1.14674534e+002
6.01000000e-001	-5.91961991e+001	5.56002278e+001	4.15600228e+002	2.99819509e+001	-1.50018049e+002	-6.60733028e+001	1.15304201e+001	1.91530420e+002	1.68805671e+001	-1.63119433e+002
6.02000000e-001	-6.82739321e+001	-8.00382332e+000	3.51996177e+002	-1.62207355e+001	-1.96220735e+002	-5.77446743e+001	-4.93874255e+001	1.30612575e+002	4.23090741e+001	-1.37690926e+002
6.03000000e-001	-6.04107755e+001	-2.09690578e+001	3.39030942e+002	-4.09636277e+001	-2.20963628e+002	-5.56688323e+001	-8.68780162e+001	9.31219838e+001	-2.17017152e-001	-1.80217017e+002
6.04000000e-001	-5.77533260e+001	3.80733584e+000	3.63807336e+002	5.33423628e+001	-1.26657637e+002	-6.29313569e+001	-7.53292208e+001	1.04670779e+002	9.92481868e+000	-1.70075181e+002
6.05000000e-001	-5.93650208e+001	-1.98828684e+001	3.40117132e+002	5.22581384e+001	-1.27741862e+002	-5.94075651e+001	6.64056837e+001	6.64056837e+001	-1.33161748e+001	-1.93316175e+002
6.06000000e-001	-5.60029599e+001	-2.50028812e+001	3.34997119e+002	4.21177375e+001	-1.37882263e+002	-6.51842344e+001	8.81301698e+001	8.81301698e+001	-6.25391441e+000	-1.86253914e+002
6.07000000e-001	-6.58629084e+001	-5.47678476e+000	3.54523215e+002	2.27662729e+001	-1.57233727e+002	-5.96935819e+001	5.06624737e+001	5.06624737e+001	5.01776076e+001	-1.29822392e+002
6.08000000e-001	-5.05554261e+001	1.14337808e+001	3.71433781e+002	7.39360179e+001	-1.06063982e+002	-6.37125523e+001	5.46988250e+001	5.46988250e+001	7.58392984e+000	-1.72416070e+002
6.09000000e-001	-6.20728238e+001	2.81163923e+001	3.88116392e+002	1.71966888e+001	-1.62803311e+002	-5.58695428e+001	8.33758242e+001	8.33758242e+001	-6.31928191e+000	-1.86319282e+002
6.10000000e-001	-6.39486515e+001	8.74528117e+001	4.47452812e+002	4.97487663e+000	-1.75025123e+002	-7.05201909e+001	-3.19829268e+000	-3.19829268e+000	1.03294510e+001	-1.69670549e+002
6.11000000e-001	-5.50125862e+001	-6.92740775e+001	4.70725923e+002	3.47133198e+001	-1.45286680e+002	-6.25584360e+001	-4.07356744e+001	-4.07356744e+001	2.65542661e+001	-1.53445734e+002
6.12000000e-001	-5.14818205e+001	4.22104479e+001	5.82210448e+002	-7.53523899e+001	-2.55352390e+002	-5.56142778e+001	-6.20277656e+001	-6.20277656e+001	-4.78953246e+001	-2.27895325e+002
6.13000000e-001	-5.73512168e+001	1.07725779e+001	5.50772578e+002	-4.53703915e+001	-2.25370392e+002	-5.66081796e+001	-1.29917767e+001	-1.29917767e+001	-3.32500016e+001	-2.13250002e+002
6.14000000e-001	-5.81327639e+001	8.32683196e+001	6.23268320e+002	-3.44682228e+001	-2.14468223e+002	-6.23548474e+001	-4.39503904e+001	-4.39503904e+001	3.47521002e+001	-1.45247900e+002
6.15000000e-001	-6.28288153e+001	1.81073588e+001	5.58107359e+002	2.07441330e+001	-1.59255867e+002	-6.74562912e+001	-4.98378618e+001	-4.98378618e+001	3.41052040e+001	-1.45894796e+002
6.16000000e-001	-6.59050181e+001	3.06915944e+001	5.70691594e+002	1.09516198e+001	-1.69048380e+002	-6.49632301e+001	-2.06244756e+001	-2.06244756e+001	2.65512659e+001	-1.53448734e+002
6.17000000e-001	-6.41607281e+001	-6.95921197e+001	4.70407880e+002	3.05137294e+000	-1.76948627e+002	-7.16606382e+001	7.37161087e+001	7.37161087e+001	3.07727773e+000	-1.76922722e+002
6.18000000e-001	-6.04930075e+001	5.92095842e+001	5.99209584e+002	3.46858270e+001	-1.45314173e+002	-6.12720599e+001	2.88655119e+001	2.88655119e+001	2.29766153e+001	-1.57023385e+002
6.19000000e-001	-6.44470689e+001	1.38730630e+001	5.53873063e+002	1.82535601e+001	-1.61746440e+002	-5.23027160e+001	-6.83521146e+001	-6.83521146e+001	-6.20852228e+001	-2.42085223e+002
6.20000000e-001	-6.76541010e+001	-7.75466122e+001	4.62453388e+002	5.84495686e+000	-1.74155043e+002	-7.53366097e+001	-1.36271729e+001	-1.36271729e+001	7.08426087e+000	-1.72915739e+002
6.21000000e-001	-6.11481086e+001	-5.36430796e+001	4.86356920e+002	-1.25613273e+001	-1.92561327e+002	-5.35629221e+001	8.63921264e+001	8.63921264e+001	1.25401251e+001	-1.67459875e+002
6.22000000e-001	-5.55115071e+001	2.92978128e+001	5.69297813e+002	5.15593093e+001	-1.28440691e+002	-6.22031990e+001	-8.40491689e+001	9.59508311e+001	7.89190608e+000	-1.72108094e+002
6.23000000e-001	-5.93979697e+001	6.46790842e+001	6.04679084e+002	-4.52315082e+000	-1.84523151e+002	-5.73203862e+001	-2.52143900e-001	1.79747856e+002	-5.38397550e+001	-2.33839755e+002
6.24000000e-001	-5.67644385e+001	-7.53640103e+001	6.44635990e+002	-5.06948318e+001	-2.30694832e+002	-6.88412719e+001	-3.55331657e+001	1.44466834e+002	1.23683988e+001	-1.67631601e+002
6.25000000e-001	-5.66355848e+001	9.72936807e+000	7.29729368e+002	7.66744205e+001	-1.03325579e+002	-6.41107113e+001	-6.41030175e+001	1.15896983e+002	-8.08580612e+000	-1.88085806e+002
6.26000000e-001	-6.02227980e+001	8.64566406e+001	8.06456641e+002	-5.16768013e+000	-1.85167680e+002	-5.93354914e+001	-1.43731808e+001	1.65626819e+002	4.06148627e+001	-1.39385137e+002
6.27000000e-001	-5.90572077e+001	-6.17647481e+001	8.38235252e+002	6.60149459e+001	-1.13985054e+002	-6.16597008e+001	3.68193942e+001	2.16819394e+002	-5.50404355e+001	-2.35040435e+002
