Frequency 	 |S21| 	 Phase(S21) 	 ExtPhase(S21) 	 CorPhase(S21)	 ExtCorPhase(S21)	 |S12| 	 Phase(S12)	 ExtPhase(S12) 	 CorPhase(S12)	 ExtCorPhase(S12)
GHz 	 dB 	 deg 	 deg 	 deg	 deg	 dB 	 deg 	 deg 	 deg	 deg
5.56000000e-001	-6.08774091e+001	-3.89667878e+001	3.21033212e+002	-1.86691360e+001	-1.86691360e+001	-6.38935726e+001	-6.97118733e+001	-6.97118733e+001	-1.27047268e+001	-1.27047268e+001
5.57000000e-001	-6.96077283e+001	-5.17695790e+001	3.08230421e+002	-9.50836941e+000	-9.50836941e+000	-5.65151033e+001	-8.49129547e+001	-8.49129547e+001	-2.85751990e+001	-2.85751990e+001
5.58000000e-001	-5.30456673e+001	7.24982882e-001	3.60724983e+002	-7.65967641e+001	-7.65967641e+001	-6.37409072e+001	6.14887115e+001	-1.18511289e+002	-1.08495762e+001	-1.08495762e+001
5.59000000e-001	-6.32413337e+001	4.91799540e+001	4.09179954e+002	1.31271500e+001	1.31271500e+001	-6.49972093e+001	-1.12671666e+001	-1.91267167e+002	-1.92236399e+001	-1.92236399e+001
5.60000000e-001	-5.52734395e+001	5.34929345e+001	4.13492934e+002	-1.68165844e+001	-1.68165844e+001	-5.58103624e+001	-8.87151079e+001	-2.68715108e+002	-3.35343878e+000	-3.35343878e+000
5.61000000e-001	-6.23310346e+001	5.28490240e+001	4.12849024e+002	2.05195623e+001	2.05195623e+001	-6.16405279e+001	3.59223027e+001	-1.44077697e+002	-1.93994465e+001	-1.93994465e+001
5.62000000e-001	-7.45419948e+001	-3.71764542e+001	3.22823546e+002	-5.62379162e+000	-5.62379162e+000	-5.67178322e+001	-5.76223015e+001	-2.37622301e+002	2.40215543e+001	2.40215543e+001
5.63000000e-001	-5.31150678e+001	-2.53810601e+001	3.34618940e+002	6.87567922e+001	6.87567922e+001	-5.29083953e+001	-5.91873681e+001	-2.39187368e+002	6.28371970e+001	6.28371970e+001
5.64000000e-001	-6.40669862e+001	-6.81776788e+001	2.91822321e+002	-2.86459700e+000	-2.86459700e+000	-6.47614544e+001	-8.23394214e+001	-2.62339421e+002	-1.24490657e+001	-1.24490657e+001
5.65000000e-001	-6.08729671e+001	5.91360194e+001	4.19136019e+002	1.18225464e+000	1.18225464e+000	-5.61747589e+001	9.59576536e+000	-1.70404235e+002	5.37422606e+001	5.37422606e+001
5.66000000e-001	-5.86001169e+001	8.39489818e+001	4.43948982e+002	9.51206754e+000	9.51206754e+000	-5.80440525e+001	-6.96449768e+001	-2.49644977e+002	5.48985295e+001	5.48985295e+001
